description                                                  |annotation_id|genes_found|input_size|term_genes|genes_universe|relative_enrichment|pval                   |pval_adj               |genes
Gastric cancer                                               |hsa05226     |72         |1355      |114       |61686         |28.752456787725773 |7.626349999999999e-90  |2.1145799999999997e-88 |CDX2,CDKN1B,CDKN1A,CDH1,AKT3,CCNE1,CCNE2,PIK3R3,FZD7,FZD6,FZD4,FZD1,AXIN2,WNT7A,WNT2,WNT1,TP53,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,BRAF,TCF7,SOS1,SHC1,RXRA,RPS6KB1,BCL2,CCND1,BAX,BAK1,RB1,RARB,RAF1,MAP2K1,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CA,ABCB1,NRAS,MYC,MLH1,MET,SMAD4,SMAD3,SMAD2,LRP6,KRAS,APC,HRAS,HGF,GSK3B,GRB2,MTOR,FGF9,FGF5,FGF2,AKT2,AKT1,ERBB2,EGFR,TCF7L1,WNT10A,E2F3,E2F2,E2F1,DVL3,WNT4,LEF1
Signaling pathways regulating pluripotency of stem cells     |hsa04550     |66         |1355      |94        |61686         |31.964167386354713 |2.7230599999999993e-87 |6.921119999999999e-86  |AKT3,ACVR1B,ACVR1,KLF4,PIK3R3,FZD7,FZD6,FZD4,FZD1,AXIN2,PCGF2,WNT7A,WNT2,WNT1,TCF7,TCF3,STAT3,BMPR2,BMPR1B,BMP4,SOX2,BMI1,REST,RAF1,MAP2K1,MAPK1,POU5F1,PIK3R2,PIK3R1,PIK3CD,PIK3CA,PAX6,NRAS,NEUROG1,MYC,MEIS1,SMAD5,SMAD4,SMAD3,SMAD2,SMAD1,LIFR,LIF,KRAS,JAK3,JAK2,JAK1,INHBB,IGF1R,IGF1,APC,HRAS,HOXA1,GSK3B,GRB2,FGFR3,FGFR1,FGF2,ACVR1C,AKT2,AKT1,WNT10A,DVL3,NANOG,WNT4,MAPK14
Hepatocellular carcinoma                                     |hsa05225     |70         |1355      |115       |61686         |27.71070110701107  |1.1372899999999997e-85 |2.6682499999999993e-84 |CDKN2A,CDKN1A,CDK6,CDK4,TXNRD2,AKT3,PIK3R3,FZD7,FZD6,FZD4,FZD1,AXIN2,WNT7A,WNT2,WNT1,ACTG1,TP53,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,BRAF,TCF7,SOS1,SMARCA4,SMARCA2,SHC1,ACTB,RPS6KB1,CCND1,BAX,BAK1,RB1,RAF1,PTEN,MAP2K1,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CA,NRAS,NFE2L2,MYC,MET,SMAD4,SMAD3,SMAD2,LRP6,KRAS,IGF2,IGF1R,APC,HRAS,HGF,GSK3B,GRB2,MTOR,AKT2,AKT1,EGFR,TCF7L1,WNT10A,E2F3,E2F2,E2F1,DVL3,WNT4,LEF1
Human T-cell leukemia virus 1 infection                      |hsa05166     |80         |1355      |170       |61686         |21.42339917516822  |2.2681299999999998e-85 |4.94129e-84            |CHUK,CHEK1,CDKN2C,CDKN2A,CDKN1A,CDK4,CDC27,CD40,AKT3,CREB5,CCNE1,CCND3,CCND2,CCNA2,PTTG1,CCNE2,KAT2B,NRP1,PIK3R3,FOSL1,TP53,TNF,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,TCF3,STAT5B,SPI1,SLC2A1,MAP2K4,CCND1,BAX,RELA,RB1,PTEN,ATR,MAP2K1,MAPK9,MAPK1,PPP3CA,PIK3R2,PIK3R1,PIK3CD,PIK3CA,ATM,NRAS,NFKBIA,NFKB1,NFATC3,NFATC1,MYC,MMP7,SMAD4,SMAD3,SMAD2,MAD2L1,KRAS,JUN,JAK3,JAK1,IL6,IL2,IKBKB,XIAP,ICAM1,HRAS,HLA-G,FOS,AKT2,AKT1,ETS2,ETS1,EGR2,E2F3,E2F2,E2F1,VAC14,CREB1
Shigellosis                                                  |hsa05131     |80         |1355      |171       |61686         |21.298116139056127 |4.1748799999999996e-85 |8.48892e-84            |CHUK,ATG14,CBX3,MALT1,CDC42,TAB1,SEPTIN7,WASF2,CD44,ARPC5,AKT3,ROCK2,ATG5,ATG12,BTRC,BCL10,CAPNS1,BECN1,PIK3R3,ACTG1,UBE2N,TRAF6,TRAF5,TP53,TNF,TLR4,MAP3K7,BNIP3,SRC,CCL5,ACTB,RPS6KB1,BCL2,ROCK1,BAX,RELA,RAC1,PXN,MAPK9,MAPK1,PRKCE,PRKCD,PIK3R2,PIK3R1,PIK3CD,PIK3CA,ATM,NFKBIB,NFKBIA,NFKB1,NAIP,MYD88,MDM2,RHOA,ARF6,JUN,ITPR1,ITGB1,ITGA5,ILK,IL18,CXCL8,IL1B,IKBKB,IFNB1,HK2,GSK3B,TAB3,MTOR,FOXO3,FOXO1,AKT2,AKT1,EGFR,ELMO2,ATG16L1,MAPK14,PLCE1,CRKL,CRK
Alzheimer disease                                            |hsa05010     |82         |1355      |184       |61686         |20.28819188191882  |5.42502e-85            |1.0341399999999998e-83 |BACE1,CHUK,NCSTN,DKK1,ATF6,ATG14,TUBB4B,PPIF,AKT3,RB1CC1,ULK2,CASP9,CASP8,CASP7,CASP3,FADD,BECN1,IRS2,PIK3R3,FZD7,FZD6,FZD4,FZD1,AXIN2,XBP1,WNT7A,WNT2,WNT1,TNF,BRAF,ADAM17,RELA,RAF1,PTGS2,PSMD9,MAP2K1,MAPK9,MAPK1,PPP3CA,PIK3R2,PIK3R1,PIK3CD,PIK3CA,ATP2A2,NRAS,NOS2,NOS1,NFKB1,NDUFA4,COX2,MAP3K5,LRP6,KRAS,ITPR1,FAS,IRS1,INSR,APP,APOE,IL6,IL1B,IKBKB,APC,HRAS,APAF1,GSK3B,MTOR,AKT2,AKT1,ERN1,EIF2S1,WNT10A,DVL3,RTN4,ATG2B,CYBB,WNT4,CSNK2A1,CSF1,APH1A,NOX4,DKK2
Epstein-Barr virus infection                                 |hsa05169     |75         |1355      |146       |61686         |23.385987969468736 |7.10461e-84            |1.2038399999999999e-82 |DDX58,CHUK,CDKN1B,CDKN1A,CDK6,CDK4,TAB1,CD44,CD40,BCL2L11,AKT3,NCOR2,CCNE1,CCND3,CCND2,CCNA2,CCNE2,RUNX3,CASP9,CASP8,CASP3,FADD,PIK3R3,VIM,TRAF6,TRAF5,TP53,TNFAIP3,TNF,TLR2,TAP1,MAP3K7,STAT3,STAT1,SKP2,MAP2K4,BCL2,CCND1,BAX,RELA,BAK1,RB1,RAC1,MAP2K6,MAP2K3,MAPK9,PIK3R2,PIK3R1,PIK3CD,PIK3CA,NFKBIB,NFKBIA,NFKB1,MYD88,MYC,MDM2,JUN,JAK3,JAK1,FAS,IRAK1,IL6,IKBKB,IFNB1,ICAM1,APAF1,HLA-G,HDAC2,HDAC1,AKT2,AKT1,E2F3,E2F2,E2F1,MAPK14
Kaposi sarcoma-associated herpesvirus infection              |hsa05167     |75         |1355      |146       |61686         |23.385987969468736 |7.10461e-84            |1.2038399999999999e-82 |CHUK,ATG14,CDKN1A,CDK6,CDK4,AKT3,CASP9,CASP8,CASP3,FADD,BECN1,PIK3R3,VEGFA,TP53,TLR3,TCF7,STAT3,STAT1,SRC,MAP2K4,CCND1,BAX,RELA,BAK1,RB1,RAF1,RAC1,PTGS2,MAP2K6,MAP2K1,MAPK9,MAPK1,PPP3CA,PIK3R2,PIK3R1,PIK3CG,PIK3CD,PIK3CA,PDGFB,NRAS,NFKBIA,NFKB1,NFATC3,NFATC1,MYC,KRAS,JUN,JAK2,JAK1,ITPR1,FAS,CXCL8,IL6,IKBKB,IFNB1,ICAM1,HRAS,HLA-G,HIF1A,ANGPT2,GSK3B,MTOR,FOS,FGF2,AKT2,AKT1,TCF7L1,E2F3,E2F2,E2F1,RCAN1,MAPK14,LEF1,CREB1,CCR1
Focal adhesion                                               |hsa04510     |75         |1355      |149       |61686         |22.915129151291513 |5.5642299999999996e-83 |8.93205e-82            |CDC42,PAK4,AKT3,ROCK2,CCND3,CCND2,CAV1,PIK3R3,VEGFA,ACTG1,THBS1,BRAF,SRC,SOS1,SHC1,ACTB,BCL2,CCND1,ROCK1,RAP1B,RAF1,RAC1,PXN,PTEN,MAP2K1,MAPK9,MAPK1,PPP1CC,PIK3R2,PIK3R1,PIK3CD,PIK3CA,PDGFRB,PDGFRA,PDGFB,PDGFA,PAK1,MET,RHOA,LAMC2,LAMC1,KDR,JUN,ITGB8,ITGB3,ITGB1,ITGAV,ITGA7,ITGA5,ITGA3,ITGA6,ILK,IGF1R,IGF1,XIAP,BIRC2,HRAS,HGF,GSK3B,GRB2,FYN,FN1,FLT1,AKT2,AKT1,ERBB2,EGFR,PAK5,PDGFC,CRKL,CRK,COL4A2,COL4A1,COL1A2,COL1A1
AGE-RAGE signaling pathway in diabetic complications         |hsa04933     |62         |1355      |88        |61686         |32.074236833277425 |3.2784199999999994e-82 |4.9996e-81             |CDKN1B,CDK4,CDC42,AKT3,CASP3,PIK3R3,VEGFA,VCAM1,TNF,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,STAT5B,STAT3,STAT1,SELE,BCL2,CCND1,BAX,RELA,RAC1,MAPK9,MAPK1,PRKCE,PRKCD,PIK3R2,PIK3R1,PIK3CD,PIK3CA,SERPINE1,NRAS,NFKB1,NFATC1,MMP2,SMAD4,SMAD3,SMAD2,KRAS,JUN,JAK2,CXCL8,IL6,IL1B,ICAM1,HRAS,FN1,FOXO1,AKT2,AKT1,AGTR1,EDN1,CYBB,MAPK14,PLCE1,NOX4,COL4A2,COL4A1,COL3A1,COL1A2,COL1A1
Prostate cancer                                              |hsa05215     |62         |1355      |91        |61686         |31.016844410202342 |1.02383e-80            |1.4869899999999996e-79 |CHUK,CDKN1B,CDKN1A,AKT3,CREB5,CCNE1,CCNE2,CASP9,PIK3R3,TP53,ZEB1,BRAF,TCF7,SOS1,BCL2,CCND1,RELA,RB1,RAF1,PTEN,MAP2K1,MAPK1,PLAT,PIK3R2,PIK3R1,PIK3CD,PIK3CA,PDGFRB,PDGFRA,PDGFB,PDGFA,NRAS,NFKBIA,NFKB1,MMP9,MMP3,MDM2,KRAS,AR,IKBKB,IGF1R,IGF1,HSP90AA1,HRAS,GSK3B,GRB2,MTOR,FOXO1,FGFR1,AKT2,AKT1,ETV5,ERG,ERBB2,EGFR,TCF7L1,E2F3,E2F2,E2F1,PDGFC,LEF1,CREB1
TNF signaling pathway                                        |hsa04668     |64         |1355      |101       |61686         |28.847349384384934 |4.23691e-80            |5.87389e-79            |CHUK,CEBPB,TAB1,DNM1L,AKT3,CREB5,BAG4,SOCS3,RPS6KA4,CASP8,CASP7,CASP3,FADD,PIK3R3,VCAM1,TRAF5,TNFAIP3,TNF,MAP3K7,MAP2K4,SELE,CCL20,CCL5,BCL3,RELA,PTGS2,MAP2K6,MAP2K3,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CA,NFKBIA,NFKB1,MMP14,MMP9,MMP3,MAP3K5,LIF,JUNB,JUN,FAS,IL6,IL1B,IKBKB,IFNB1,ICAM1,BIRC2,TAB3,DAB2IP,FOS,AKT2,AKT1,ITCH,JAG1,EDN1,NOD2,CSF1,MAPK14,CREB1,MAP3K8
Salmonella infection                                         |hsa05132     |73         |1355      |155       |61686         |21.440676109986903 |5.280449999999999e-78  |7.002339999999998e-77  |CHUK,WASF3,CDC42,TAB1,TUBB4B,ARPC5,AKT3,ROCK2,CASP8,CASP7,CASP3,TNFRSF10A,TNFRSF10B,FADD,TNFSF10,ACTG1,TRAF6,TNF,TLR4,TLR2,TCF7,MAP3K7,MAP2K4,ACTB,BCL2,BAX,RELA,BAK1,RAF1,RAC1,RAB5B,RAB5A,MAP2K6,MAP2K3,MAP2K1,MAPK9,MAPK1,PODXL,PIK3CG,PIK3CD,PIK3CA,PIK3C2B,PIK3C2A,PAK1,NFKBIA,NFKB1,NAIP,MYO6,MYD88,MYC,M6PR,RHOB,RHOA,ARF6,JUN,IRAK1,IL18,CXCL8,IL6,IL1B,IKBKB,BIRC2,HSP90AA1,HRAS,TAB3,FOS,AKT2,AKT1,TIRAP,TCF7L1,ELMO2,MAPK14,LEF1
Ras signaling pathway                                        |hsa04014     |75         |1355      |169       |61686         |20.203279547588373 |1.2531199999999998e-77 |1.5925099999999997e-76 |CHUK,CDC42,PAK4,RASGRP1,AKT3,RASAL2,KSR1,PIK3R3,ZAP70,VEGFA,TIAM1,TEK,SOS1,SHC1,BDNF,RELA,RASA1,RAP1B,RAF1,RAC1,RAB5B,RAB5A,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3R1,PIK3CD,PIK3CA,PDGFRB,PDGFRA,PDGFB,PDGFA,PAK1,NTRK2,NTF3,NRAS,NFKB1,NF1,MET,RHOA,ARF6,KRAS,KIT,KDR,PLA2G4B,FASLG,INSR,IKBKB,IGF2,IGF1R,IGF1,HRAS,HGF,ANGPT2,GRB2,ABL2,ABL1,FLT1,FGFR3,FGFR1,FGF9,FGF5,FGF2,AKT2,AKT1,ETS2,ETS1,EPHA2,EGFR,PAK5,PDGFC,CSF1R,CSF1,PLCE1
FoxO signaling pathway                                       |hsa04068     |64         |1355      |108       |61686         |26.97761377613776  |2.66419e-77            |3.250309999999999e-76  |CHUK,SIRT1,CDKN1B,CDKN1A,PLK2,BCL2L11,AKT3,CCND2,ATG12,TNFSF10,IRS2,PIK3R3,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,BRAF,BNIP3,STK11,STAT3,SOS1,SOD2,SLC2A4,SKP2,BCL6,CCND1,RBL2,RAF1,PTEN,MAP2K1,MAPK9,MAPK1,PRKAB1,PRKAA2,PRKAA1,PLK1,PIK3R2,PIK3R1,PIK3CD,PIK3CA,ATM,NRAS,MDM2,SMAD4,SMAD3,KRAS,FASLG,IRS1,INSR,IL6,IKBKB,IGF1R,IGF1,HRAS,GRB2,FOXO3,FOXO1,FOXG1,AKT2,AKT1,EGFR,NLK,MAPK14
