description                                                  |annotation_id|genes_found|input_size|term_genes|genes_universe|relative_enrichment|pval                   |pval_adj               |genes
Hepatocellular carcinoma                                     |hsa05225     |77         |1493      |120       |61686         |26.511620897521766 |1.4669599999999996e-93 |4.14749e-92            |FRAT2,CDKN2A,CDKN1A,CDK6,CDK4,TXNRD2,AKT3,KEAP1,FZD7,FZD6,FZD4,AXIN2,ARID1A,FZD5,WNT10B,WNT7A,WNT1,TP53,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,BRAF,TCF7,SMARCB1,SMARCA4,SHC1,RPS6KB1,BCL2L1,CCND1,BAX,RB1,RAF1,PTEN,MAP2K1,MAPK1,PRKCA,PIK3R2,PIK3R1,PIK3CD,PIK3CB,NRAS,NFE2L2,MYC,MET,SMAD4,SMAD3,SMAD2,LRP6,KRAS,IGF2,IGF1R,APC,HRAS,HMOX1,HGF,GSK3B,GRB2,MTOR,ARID2,AKT2,AKT1,WNT3A,EGFR,TCF7L1,WNT10A,E2F3,E2F2,E2F1,DVL2,DVL1,PBRM1,CTNNB1,WNT4,CSNK1A1,LEF1
AGE-RAGE signaling pathway in diabetic complications         |hsa04933     |68         |1493      |90        |61686         |31.217146684527794 |8.973659999999998e-91  |2.3256699999999993e-89 |CDKN1B,CDK4,CDC42,AKT3,CASP3,VEGFC,VEGFA,TNF,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,STAT5B,STAT5A,STAT3,STAT1,SELE,CCL2,BCL2,CCND1,BAX,RELA,RAC1,MAPK13,MAPK9,MAPK1,PRKCD,PRKCA,PIK3R2,PIK3R1,PIK3CD,PIM1,PIK3CB,SERPINE1,NRAS,NOS3,NFKB1,NFATC1,MMP2,SMAD4,SMAD3,SMAD2,KRAS,JUN,JAK2,CXCL8,IL6,IL1B,IL1A,ICAM1,HRAS,FN1,FOXO1,AKT2,AKT1,AGTR1,EGR1,EDN1,CYBB,MAPK14,PLCE1,NOX4,COL4A2,COL4A1,COL3A1,COL1A2,COL1A1
Human T-cell leukemia virus 1 infection                      |hsa05166     |84         |1493      |170       |61686         |20.415365824829596 |2.1783699999999996e-88 |5.211319999999999e-87  |CHUK,CHEK1,ADCY1,CDKN2C,CDKN2B,CDKN2A,CDKN1A,CDK4,CDK2,CDC27,AKT3,CREB5,CCNE1,CCND3,CCND2,CCNA2,PTTG1,CCNE2,MAP3K14,KAT2B,NRP1,FOSL1,TP53,TNF,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,STAT5B,STAT5A,SRF,SPI1,SLC2A1,MAP2K4,BCL2L1,CCND1,BAX,RELA,RB1,PTEN,ATR,MAP2K1,MAPK9,MAPK1,PRKACB,PIK3R2,PIK3R1,PIK3CD,PIK3CB,ATM,NRAS,NFKB2,NFKB1,NFATC3,NFATC1,MYC,MMP7,MAP3K1,SMAD4,SMAD3,SMAD2,MAD2L1,KRAS,JUN,JAK1,IL6,IL2,IKBKB,XIAP,ICAM1,HRAS,HLA-G,FOS,AKT2,AKT1,ETS1,EGR2,EGR1,E2F3,E2F2,E2F1,VAC14,CREB1
Cellular senescence                                          |hsa04218     |74         |1493      |121       |61686         |25.26813282923616  |1.3594799999999997e-87 |3.0199899999999994e-86 |SIRT1,CHEK1,RRAS2,CDKN2B,CDKN2A,CDKN1A,CDK6,TRAF3IP2,CDK4,CDK2,CDC25A,CDK1,AKT3,CCNE1,CCND3,CCND2,CCNB1,CCNA2,CCNE2,BTRC,TSC1,TP53,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,CCND1,RHEB,RELA,RBL2,RBL1,RB1,RAF1,PTEN,ATR,MAP2K6,MAP2K3,MAP2K1,MAPK13,MAPK1,PPP1CC,PIK3R2,PIK3R1,PIK3CD,PIK3CB,SERPINE1,ATM,NRAS,NFKB1,NFATC3,NFATC1,MYC,MDM2,SMAD3,SMAD2,KRAS,CXCL8,IL6,IL1A,HRAS,HLA-G,MTOR,FOXO3,FOXO1,AKT2,AKT1,ETS1,E2F5,E2F3,E2F2,E2F1,MAPK14,HIPK2
Focal adhesion                                               |hsa04510     |80         |1493      |152       |61686         |21.745690414918744 |3.5919499999999996e-87 |7.447319999999998e-86  |CDC42,PAK4,AKT3,BCAR1,ROCK2,CCND3,CCND2,CAV1,ZYX,VEGFC,VEGFA,VAV2,THBS4,THBS2,THBS1,BRAF,SRC,SHC1,BCL2,CCND1,ROCK1,RAP1B,RAF1,RAC1,PXN,PTEN,MAP2K1,MAPK9,MAPK1,PRKCA,PPP1CC,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PDGFRB,PDGFRA,PDGFB,PDGFA,PAK2,PAK1,MYLK,MET,ARHGAP5,RHOA,LAMC2,LAMC1,KDR,JUN,ITGB8,ITGB4,ITGB3,ITGB1,ITGAV,ITGA5,ITGA3,ITGA6,IGF1R,IGF1,XIAP,HRAS,HGF,GSK3B,GRB2,FYN,FN1,AKT2,AKT1,ERBB2,EGFR,DOCK1,PAK5,PDGFC,CTNNB1,CRKL,CRK,COL4A2,COL4A1,COL1A2,COL1A1
Signaling pathways regulating pluripotency of stem cells     |hsa04550     |68         |1493      |99        |61686         |28.37922425866163  |6.26098e-86            |1.2169799999999998e-84 |AKT3,ACVR2B,ACVR2A,ACVR1B,ACVR1,KLF4,FZD7,FZD6,FZD4,AXIN2,FZD5,PCGF2,ZIC3,WNT10B,WNT7A,WNT1,TCF7,STAT3,BMPR2,BMPR1B,SOX2,BMI1,REST,RAF1,MAP2K1,MAPK13,MAPK1,POU5F1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PAX6,NRAS,MYC,MEIS1,SMAD5,SMAD4,SMAD3,SMAD2,SMAD1,KRAS,JARID2,JAK2,JAK1,INHBB,IGF1R,IGF1,ID2,APC,HRAS,GSK3B,GRB2,FGFR3,FGFR1,FGF2,ACVR1C,AKT2,AKT1,WNT3A,WNT10A,DVL2,NANOG,DVL1,DLX5,CTNNB1,WNT4,MAPK14
Epstein-Barr virus infection                                 |hsa05169     |78         |1493      |148       |61686         |21.775076483047012 |4.4851299999999993e-85 |8.205149999999998e-84  |CHUK,TAB2,CDKN1B,CDKN1A,CDK6,CDK4,CDK2,CD44,BCL2L11,AKT3,IKBKE,NCOR2,CCNE1,CCND3,CCND2,CCNA2,CCNE2,RUNX3,MAP3K14,CASP9,CASP8,CASP3,FADD,TRADD,VIM,TRAF6,TP53,TNFAIP3,TNF,BTK,TLR2,TAP1,STAT3,STAT1,SKP2,MAP2K4,BCL2,CCND1,BAX,RELA,RB1,RAC1,MAP2K6,MAP2K3,MAPK13,MAPK9,PIK3R2,PIK3R1,PIK3CD,PIK3CB,NFKBIB,NFKB2,NFKB1,MYD88,MYC,MDM2,JUN,JAK1,IRAK1,CXCL10,IL6,IKBKB,IFNB1,ICAM1,HES1,APAF1,HLA-G,HDAC1,PDIA3,AKT2,AKT1,E2F3,E2F2,E2F1,SAP30L,MAPK14,IRAK4,TBK1
FoxO signaling pathway                                       |hsa04068     |68         |1493      |110       |61686         |25.54130183279547  |4.838569999999999e-81  |8.359969999999999e-80  |GABARAPL1,SGK3,CHUK,SIRT1,CDKN2D,CDKN2B,CDKN1B,CDKN1A,PLK2,CDK2,BCL2L11,AKT3,CCNG2,CCND2,CCNB1,ATG12,TNFSF10,TGFBR2,TGFBR1,TGFB3,TGFB2,TGFB1,BRAF,BNIP3,STK11,STAT3,SOD2,SLC2A4,SKP2,BCL6,CCND1,RBL2,RAF1,PTEN,MAP2K1,MAPK13,MAPK9,MAPK1,PRKAB1,PRKAA2,PRKAA1,PLK1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,ATM,NRAS,MDM2,SMAD4,SMAD3,KRAS,FASLG,IRS1,IL6,IKBKB,IGF1R,IGF1,HRAS,GRB2,FOXO3,FOXO1,AKT2,AKT1,EGFR,S1PR1,NLK,MAPK14
Kaposi sarcoma-associated herpesvirus infection              |hsa05167     |75         |1493      |147       |61686         |21.080006014462047 |2.1188399999999995e-80 |3.4681999999999986e-79 |GABARAPL1,CHUK,CDKN1A,CDK6,CDK4,AKT3,IKBKE,CASP9,CASP8,CASP3,FADD,TRADD,BECN1,VEGFA,TP53,TLR3,TCF7,STAT3,STAT1,SRC,MAP2K4,CCND1,BAX,RELA,RB1,RAF1,RAC1,PTGS2,MAP2K6,MAP2K1,MAPK13,MAPK9,MAPK1,PIK3R2,PIK3R1,PIK3CG,PIK3CD,PIK3CB,PDGFB,NRAS,NFKB1,NFATC3,NFATC1,MYC,KRAS,JUN,JAK2,JAK1,CXCL8,IL6,IKBKB,IFNGR1,IFNB1,ICAM1,HRAS,HLA-G,HIF1A,GSK3B,MTOR,FOS,TICAM1,FGF2,AKT2,AKT1,TCF7L1,E2F3,E2F2,E2F1,RCAN1,CTNNB1,MAPK14,LEF1,CREB1,TBK1,CCR1
Pathways of neurodegeneration - multiple diseases            |hsa05022     |88         |1493      |237       |61686         |15.34126344883719  |6.597869999999999e-79  |1.0259699999999998e-77 |CHMP2B,GABARAPL1,FRAT2,DKK1,TUBB4B,PPIF,MFN2,RB1CC1,CASP9,CASP8,CASP7,CASP3,FADD,BECN1,CAMK2D,FZD7,FZD6,FZD4,AXIN2,CACNA1C,FZD5,XBP1,WNT10B,WNT7A,WNT1,UQCRFS1,TNF,BRAF,STX1A,BDNF,ATXN1,BCL2L1,BCL2,BAX,RELA,RAF1,RAC1,RAB5A,RAB1A,PTGS2,PSMD9,MAP2K6,MAP2K3,MAP2K1,MAPK13,MAPK9,MAPK1,PRKCA,ATP5F1B,ATP2A2,NRAS,NOS2,NFKB1,CYTB,COX2,MAP3K10,MAP3K5,LRP6,KRAS,FASLG,APP,IL6,IL1B,IL1A,HSPA5,APC,HRAS,APAF1,GSK3B,GPX2,MTOR,WNT3A,EIF2S1,WNT10A,DVL2,DVL1,DERL1,PINK1,DAXX,CYBB,CTNNB1,WNT4,CSNK2A1,CSNK1A1,MAPK14,NOX4,TBK1,DKK2
Shigellosis                                                  |hsa05131     |78         |1493      |174       |61686         |18.521329422361827 |7.495859999999999e-78  |1.1100999999999999e-76 |GABARAPL1,CHUK,TAB2,CBX3,MALT1,CDC42,SEPTIN7,CD44,ACTR2,ARPC3,ARPC5,AKT3,BCAR1,ROCK2,ATG5,RPS6KA5,ATG12,BTRC,BCL10,TRADD,BECN1,UBE2N,TRAF6,TP53,TNF,TLR4,BNIP3,SRC,CCL5,RPS6KB1,BCL2L1,BCL2,ROCK1,BAX,RELA,RAC1,PXN,MAPK13,MAPK9,MAPK1,PRKCD,PIK3R2,PIK3R1,PIK3CD,PIK3CB,ATM,NFKBIB,NFKB1,NAIP,MYD88,MDM2,RHOA,JUN,ITGB1,ITGA5,CXCL8,IL1B,IKBKB,IFNB1,HK2,H3-3A,GSK3B,TAB3,MTOR,FOXO3,FOXO1,AKT2,AKT1,EGFR,DOCK1,ELMO2,RPTOR,ATG16L1,MAPK14,PLCE1,CRKL,CRK,TBK1
Prostate cancer                                              |hsa05215     |61         |1493      |89        |61686         |28.31826425942789  |4.3277199999999996e-77 |6.117819999999998e-76  |CHUK,CDKN1B,CDKN1A,CDK2,AKT3,CREB5,CCNE1,CCNE2,CASP9,TP53,ZEB1,BRAF,TCF7,BCL2,CCND1,RELA,RB1,RAF1,PTEN,MAP2K1,MAPK1,PLAU,PLAT,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PDGFRB,PDGFRA,PDGFB,PDGFA,NRAS,NKX3-1,NFKB1,MMP9,MMP3,MDM2,KRAS,AR,IKBKB,IGF1R,IGF1,HRAS,GSK3B,GRB2,MTOR,FOXO1,FGFR1,AKT2,AKT1,ERG,ERBB2,EGFR,TCF7L1,E2F3,E2F2,E2F1,PDGFC,CTNNB1,LEF1,CREB1
Alzheimer disease                                            |hsa05010     |79         |1493      |187       |61686         |17.454695889194134 |2.7674499999999995e-76 |3.7420699999999993e-75 |BACE1,CHUK,FRAT2,NCSTN,DKK1,ADAM10,TUBB4B,PPIF,AKT3,RB1CC1,CASP9,CASP8,CASP7,CASP3,FADD,BECN1,FZD7,FZD6,FZD4,AXIN2,CACNA1C,FZD5,XBP1,WNT10B,WNT7A,WNT1,UQCRFS1,TNF,BRAF,ADAM17,RELA,RAF1,PTGS2,PSMD9,MAP2K1,MAPK9,MAPK1,ATP5F1B,PIK3R2,PIK3R1,PIK3CD,PIK3CB,ATP2A2,NRAS,NOS2,NFKB1,CYTB,COX2,MAP3K5,LRP6,LRP1,KRAS,IRS1,APP,IL6,IL1B,IL1A,IKBKB,APC,HRAS,APAF1,GSK3B,GAPDH,MTOR,AKT2,AKT1,WNT3A,EIF2S1,WNT10A,DVL2,DVL1,RTN4,CYBB,CTNNB1,WNT4,CSNK2A1,CSNK1A1,NOX4,DKK2
Hepatitis C                                                  |hsa05160     |66         |1493      |115       |61686         |23.712257200267917 |1.48733e-75            |1.9273299999999995e-74 |CHUK,CDKN1A,CDK6,CDK4,CDK2,NR1H3,AKT3,SCARB1,IKBKE,CLDN1,CLDN2,CLDN10,SOCS3,CASP9,CASP8,CASP3,FADD,TRADD,YWHAZ,YWHAG,TRAF6,TP53,TNF,TLR3,BRAF,STAT3,STAT1,RXRA,CCND1,BAX,RELA,RB1,RAF1,MAP2K1,MAPK1,PPP2R2A,PPARA,PIK3R2,PIK3R1,PIK3CD,PIK3CB,NRAS,NFKB1,MYC,LDLR,KRAS,JAK1,FASLG,CXCL10,IKBKB,IFNG,IFNB1,HRAS,APAF1,GSK3B,GRB2,TICAM1,AKT2,AKT1,EIF2S1,EGFR,E2F3,E2F2,E2F1,CTNNB1,TBK1
