description                                                  |annotation_id|genes_found|input_size|term_genes|genes_universe|relative_enrichment|pval                   |pval_adj              |genes
AGE-RAGE signaling pathway in diabetic complications         |hsa04933     |49         |736       |87        |61686         |47.20474137931035  |4.9700299999999986e-71 |1.3102799999999996e-69|CDKN1B,CDK4,CDC42,AKT3,CASP3,PIK3R3,VEGFA,TNF,TGFBR2,TGFBR1,TGFB2,TGFB1,STAT5B,STAT5A,STAT3,SELE,CCL2,BCL2,CCND1,RAC1,MAPK9,MAPK1,PIK3R2,PIK3CD,PIM1,SERPINE1,NRAS,NFKB1,MMP2,SMAD4,SMAD3,SMAD2,KRAS,JAK2,IL6,ICAM1,FOXO1,AKT2,AKT1,EGR1,EDN1,CYBB,MAPK14,PLCE1,COL4A2,COL4A1,COL3A1,COL1A2,COL1A1
Hepatitis B                                                  |hsa05161     |56         |736       |138       |61686         |34.01086956521739  |1.97617e-70            |4.40839e-69           |CHUK,TAB2,CDKN1A,AKT3,CREB5,CCNE1,CCNA2,CCNE2,CASP3,PIK3R3,TRAF6,TP53,TNF,TLR2,TGFBR2,TGFBR1,TGFB2,TGFB1,MAP3K7,STAT5B,STAT5A,STAT4,STAT3,SRC,BCL2,RB1,RAF1,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3CD,NRAS,NFKB1,NFATC3,MYC,MMP9,SMAD4,SMAD3,KRAS,JAK3,JAK2,JAK1,IL6,IKBKB,BIRC5,FOS,AKT2,PTK2B,AKT1,E2F3,E2F2,E2F1,MAPK14,IRAK4,CREB1
Hepatocellular carcinoma                                     |hsa05225     |52         |736       |108       |61686         |40.354166666666664 |1.9640699999999996e-70 |4.746499999999999e-69 |FRAT2,CDKN1A,CDK6,CDK4,AKT3,KEAP1,PIK3R3,FZD4,FZD1,ARID1A,FZD5,WNT7A,WNT1,ACTG1,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,TCF7,SMARCB1,SHC1,RPS6KB1,CCND1,BAK1,RB1,RAF1,PTEN,MAP2K1,MAPK1,PIK3R2,PIK3CD,NRAS,MYC,MET,SMAD4,SMAD3,SMAD2,LRP6,KRAS,IGF1R,GSK3B,MTOR,AKT2,AKT1,EGFR,TCF7L1,E2F3,E2F2,E2F1,DVL3,WNT4
MAPK signaling pathway                                       |hsa04010     |63         |736       |204       |61686         |25.883272058823533 |3.493809999999999e-70  |7.237189999999999e-69 |CHUK,TAB2,RRAS2,CDC42,AKT3,MAPK8IP1,MAP4K4,CASP3,TRADD,MAP3K12,VEGFA,TRAF6,TP53,TNF,TGFBR2,TGFBR1,TGFB2,TGFB1,MAP3K7,STK3,BDNF,RASA1,RAP1B,RAF1,RAC1,MAP2K1,MAPK9,MAPK1,PRKACB,PDGFRB,PDGFRA,PAK1,NTRK2,NRAS,NFKB1,NFATC3,MYC,MET,STMN1,KRAS,KIT,KDR,PLA2G4B,JUND,INSR,IKBKB,IGF1R,IGF1,FOS,FGFR3,FGF2,AKT2,AKT1,MECOM,ERBB3,ERBB2,EGFR,DUSP4,CSF1R,CSF1,MAPK14,IRAK4,CRK
FoxO signaling pathway                                       |hsa04068     |47         |736       |102       |61686         |38.61948529411765  |1.4587299999999998e-62 |2.6439499999999994e-61|CHUK,SIRT1,CDKN1B,CDKN1A,BCL2L11,AKT3,CCND2,CCNB1,ATG12,TNFSF10,IRS2,PIK3R3,TGFBR2,TGFBR1,TGFB2,TGFB1,STAT3,SOD2,SKP2,BCL6,CCND1,RAF1,PTEN,MAP2K1,MAPK9,MAPK1,PLK1,PIK3R2,PIK3CD,ATM,NRAS,SMAD4,SMAD3,KRAS,IRS1,INSR,IL10,IL6,IKBKB,IGF1R,IGF1,FOXO3,FOXO1,AKT2,AKT1,EGFR,MAPK14
Signaling pathways regulating pluripotency of stem cells     |hsa04550     |44         |736       |82        |61686         |44.97256097560976  |1.4562999999999998e-62 |2.8155099999999996e-61|AKT3,ACVR2B,KLF4,PIK3R3,FZD4,FZD1,FZD5,WNT7A,WNT1,TCF7,STAT3,BMPR1B,BMI1,RAF1,MAP2K1,MAPK1,PIK3R2,PIK3CD,NRAS,MYC,MEIS1,SMAD5,SMAD4,SMAD3,SMAD2,SMAD1,LIFR,KRAS,JAK3,JAK2,JAK1,IGF1R,IGF1,HOXA1,GSK3B,FGFR3,FGF2,ACVR1C,AKT2,AKT1,DVL3,DLX5,WNT4,MAPK14
Epstein-Barr virus infection                                 |hsa05169     |52         |736       |144       |61686         |30.265625          |3.1707199999999995e-62 |5.408869999999999e-61 |CHUK,TAB2,CDKN1B,CDKN1A,CDK6,CDK4,BCL2L11,AKT3,NCOR2,CCNE1,CCND3,CCND2,CCNA2,CCNE2,RUNX3,CASP3,TRADD,PIK3R3,VIM,TRAF6,TP53,TNFAIP3,TNF,BTK,TLR2,MAP3K7,STAT3,SKP2,BCL2,CCND1,BAK1,RB1,RAC1,MAPK9,PIK3R2,PIK3CD,NFKB1,MYC,JAK3,JAK1,IL6,IKBKB,ICAM1,HLA-G,HDAC2,AKT2,AKT1,E2F3,E2F2,E2F1,MAPK14,IRAK4
Prostate cancer                                              |hsa05215     |44         |736       |86        |61686         |42.88081395348837  |2.6435399999999995e-61 |4.0348799999999997e-60|CHUK,CDKN1B,CDKN1A,AKT3,CREB5,CCNE1,CCNE2,PIK3R3,TP53,ZEB1,TCF7,BCL2,CCND1,RB1,RAF1,PTEN,MAP2K1,MAPK1,PLAU,PIK3R2,PIK3CD,PDGFRB,PDGFRA,NRAS,NFKB1,MMP9,KRAS,AR,IKBKB,IGF1R,IGF1,GSK3B,MTOR,FOXO1,AKT2,AKT1,ERG,ERBB2,EGFR,TCF7L1,E2F3,E2F2,E2F1,CREB1
Endocrine resistance                                         |hsa01522     |44         |736       |86        |61686         |42.88081395348837  |2.6435399999999995e-61 |4.0348799999999997e-60|ADCY6,CDKN1B,CDKN1A,CDK4,AKT3,PIK3R3,NCOA3,TP53,SRC,SP1,SHC1,RPS6KB1,BCL2,CCND1,RB1,RAF1,MAP2K1,MAPK9,MAPK1,PRKACB,PIK3R2,PIK3CD,NRAS,NOTCH2,NOTCH1,MMP9,MMP2,KRAS,IGF1R,IGF1,MTOR,FOS,AKT2,AKT1,ESR2,ESR1,ERBB2,EGFR,E2F3,E2F2,E2F1,HBEGF,DLL4,MAPK14
Focal adhesion                                               |hsa04510     |51         |736       |143       |61686         |29.89117132867133  |1.0291199999999999e-60 |1.4922199999999998e-59|CDC42,PAK4,AKT3,CCND3,CCND2,CAV1,PIK3R3,VEGFA,ACTG1,SRC,SHC1,BCL2,CCND1,RAP1B,RAF1,RAC1,PXN,PTEN,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3CD,PDGFRB,PDGFRA,PAK1,MET,RHOA,LAMC2,LAMC1,KDR,ITGB3,ITGB1,ITGAV,ITGA3,ITGA6,IGF1R,IGF1,XIAP,BIRC2,GSK3B,AKT2,AKT1,ERBB2,TLN2,EGFR,CRK,COL4A2,COL4A1,COL1A2,COL1A1
Kaposi sarcoma-associated herpesvirus infection              |hsa05167     |51         |736       |144       |61686         |29.683593750000004 |1.5760899999999996e-60 |2.1765e-59            |CHUK,ATG14,CDKN1A,CDK6,CDK4,AKT3,CASP3,TRADD,BECN1,PIK3R3,VEGFA,TP53,TCF7,STAT3,SRC,CCND1,BAK1,RB1,RAF1,RAC1,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3CG,PIK3CD,NRAS,NFKB1,NFATC3,MYC,KRAS,JAK2,JAK1,ITPR1,IL6,IKBKB,ICAM1,HLA-G,HIF1A,GSK3B,MTOR,FOS,FGF2,AKT2,AKT1,TCF7L1,E2F3,E2F2,E2F1,MAPK14,CREB1
Pancreatic cancer                                            |hsa05212     |41         |736       |71        |61686         |48.3987676056338   |3.1224299999999995e-60 |4.115929999999999e-59 |CHUK,CDKN1A,CDK6,CDK4,CDC42,AKT3,PIK3R3,VEGFA,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,STAT3,RPS6KB1,CCND1,BAK1,RB1,RAF1,RAD51,RAC1,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3CD,NFKB1,SMAD4,SMAD3,SMAD2,KRAS,JAK1,IKBKB,MTOR,AKT2,AKT1,ERBB2,EGFR,E2F3,E2F2,E2F1
Chronic myeloid leukemia                                     |hsa05220     |41         |736       |72        |61686         |47.7265625         |7.172249999999999e-60  |9.043269999999998e-59 |CHUK,CDKN1B,CDKN1A,CDK6,CDK4,AKT3,CBL,PIK3R3,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,STAT5B,STAT5A,SHC1,CCND1,BAK1,RB1,RAF1,MAP2K1,MAPK1,PIK3R2,PIK3CD,NRAS,NFKB1,MYC,SMAD4,SMAD3,KRAS,IKBKB,HDAC2,ABL1,AKT2,AKT1,MECOM,E2F3,E2F2,E2F1,CTBP2,CRK
Hippo signaling pathway                                      |hsa04390     |44         |736       |98        |61686         |37.630102040816325 |5.4835800000000006e-58 |6.625989999999998e-57 |CDH1,YAP1,CCND3,CCND2,DLG5,BTRC,FZD4,FZD1,GDF5,FZD5,YWHAG,WNT7A,WNT1,ACTG1,TGFBR2,TGFBR1,TGFB2,TGFB1,TCF7,STK3,BMPR1B,BMP7,BMP6,SNAI2,CCND1,PPP2R2A,PPP2CB,SERPINE1,MYC,SMAD7,SMAD4,SMAD3,SMAD2,SMAD1,BIRC5,BIRC2,GSK3B,AMOT,NKD1,TCF7L1,DVL3,CCN2,WNT4,BBC3
Human immunodeficiency virus 1 infection                     |hsa05170     |50         |736       |151       |61686         |27.75248344370861  |1.2604e-57             |1.46206e-56           |CHUK,CHEK1,TAB2,CDC25C,PAK4,AKT3,CCNB1,BTRC,AP1S2,CASP3,TRADD,PIK3R3,CUL5,CXCR4,WEE1,TRAF6,TNF,TLR2,MAP3K7,RPS6KB1,BCL2,BAK1,RAF1,RAC1,PXN,ATR,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3CD,PAK1,ATM,NRAS,NFKB1,NFATC3,KRAS,ITPR1,IKBKB,HLA-G,GNAI3,GNAI2,MTOR,FOS,AKT2,PTK2B,AKT1,MAPK14,IRAK4,CRK
Shigellosis                                                  |hsa05131     |51         |736       |169       |61686         |25.292529585798817 |2.27528e-56            |2.53782e-55           |CHUK,TAB2,ATG14,CBX3,CDC42,SEPTIN7,ARPC5,AKT3,ATG5,ATG12,BTRC,TRADD,BECN1,PIK3R3,ACTG1,TRAF6,TP53,TNF,MAP3K7,SRC,CCL5,RPS6KB1,BCL2,RAC1,PXN,MAPK9,MAPK1,PIK3R2,PIK3CD,ATM,NFKB1,RHOA,ITPR1,ITGB1,IL18,IKBKB,HK2,H3-3A,GSK3B,TAB3,MTOR,FOXO3,FOXO1,AKT2,AKT1,TLN2,EGFR,ELMO2,MAPK14,PLCE1,CRK
Ras signaling pathway                                        |hsa04014     |50         |736       |162       |61686         |25.868055555555554 |7.6001499999999995e-56 |8.16313e-55           |CHUK,RRAS2,CDC42,PAK4,AKT3,RASAL2,PIK3R3,VEGFA,TIAM1,SHC1,BDNF,RASA1,RAP1B,RAF1,RAC1,RAB5B,RAB5A,MAP2K1,MAPK9,MAPK1,PRKACB,PIK3R2,PIK3CD,PDGFRB,PDGFRA,PAK1,NTRK2,NRAS,NFKB1,MET,RHOA,KRAS,KIT,KDR,PLA2G4B,INSR,IKBKB,IGF1R,IGF1,ABL2,ABL1,FGFR3,FGF2,AKT2,AKT1,ETS1,EGFR,CSF1R,CSF1,PLCE1
EGFR tyrosine kinase inhibitor resistance                    |hsa01521     |39         |736       |73        |61686         |44.77654109589041  |1.8112e-55             |1.87588e-54           |BCL2L11,AKT3,PIK3R3,VEGFA,STAT3,SRC,SHC1,RPS6KB1,BCL2,RAF1,PTEN,MAP2K1,MAPK1,PIK3R2,PIK3CD,PDGFRB,PDGFRA,NRAS,MET,KRAS,KDR,JAK2,JAK1,IL6R,IL6,IGF1R,IGF1,GSK3B,MTOR,FOXO3,FGFR3,FGF2,AKT2,AKT1,ERBB3,ERBB2,EIF4EBP1,EIF4E,EGFR
Viral carcinogenesis                                         |hsa05203     |46         |736       |131       |61686         |29.430343511450385 |1.74625e-54            |1.74625e-53           |CHEK1,CDKN1B,CDKN1A,CDK6,CDK4,CDC42,HDAC5,HDAC6,HDAC4,CREB5,CCNE1,CCND3,CCND2,CCNA2,CCNE2,CASP3,TRADD,PIK3R3,YWHAG,TP53,STAT5B,STAT5A,STAT3,SRC,SKP2,CCND1,BAK1,RB1,RAC1,PXN,MAPK1,PRKACB,PKM,PIK3R2,PIK3CD,NRAS,NFKB1,RHOA,KRAS,JAK3,JAK1,HLA-G,HDAC2,HDAC8,VAC14,CREB1
Small cell lung cancer                                       |hsa05222     |39         |736       |77        |61686         |42.45048701298701  |3.1764699999999997e-54 |3.07059e-53           |CHUK,CDKN1B,CDKN1A,CDK6,CDK4,AKT3,CCNE1,CCNE2,CASP3,PIK3R3,TRAF6,TP53,SKP2,BCL2,CCND1,BAK1,RB1,RARB,PTEN,PIK3R2,PIK3CD,NFKB1,MYC,LAMC2,LAMC1,ITGB1,ITGAV,ITGA3,ITGA6,IKBKB,XIAP,BIRC2,AKT2,AKT1,E2F3,E2F2,E2F1,COL4A2,COL4A1
Cell cycle                                                   |hsa04110     |40         |736       |84        |61686         |39.910714285714285 |3.7745699999999997e-54 |3.53105e-53           |CHEK1,CDKN1C,CDKN1B,CDKN1A,CDK6,CDK4,CDC25C,CDC25A,CCNE1,CCND3,CCND2,CCNB1,CCNA2,CCNE2,CDC7,YWHAG,WEE1,TP53,TGFB2,TGFB1,TFDP2,SKP2,CCND1,RB1,ATR,PRKDC,PLK1,ATM,MYC,SMAD4,SMAD3,SMAD2,MAD2L1,HDAC2,GSK3B,ABL1,E2F5,E2F3,E2F2,E2F1
Colorectal cancer                                            |hsa05210     |38         |736       |77        |61686         |41.36201298701299  |2.77365e-52            |2.5136199999999997e-51|CDKN1A,BCL2L11,AKT3,CASP3,PIK3R3,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,TCF7,RPS6KB1,BCL2,CCND1,BAK1,RAF1,RAC1,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3CD,NRAS,MYC,SMAD4,SMAD3,SMAD2,RHOA,KRAS,BIRC5,GSK3B,MTOR,FOS,AKT2,AKT1,EGFR,TCF7L1,BBC3
Hepatitis C                                                  |hsa05160     |42         |736       |112       |61686         |31.429687499999996 |2.76902e-51            |2.4333799999999996e-50|CHUK,CDKN1A,CDK6,CDK4,AKT3,SCARB1,SOCS3,CASP3,TRADD,PIK3R3,YWHAG,TRAF6,TP53,TNF,STAT3,CCND1,BAK1,RB1,RAF1,MAP2K1,MAPK1,PPP2R2A,PPP2CB,PPARA,PIK3R2,PIK3CD,NRAS,NFKB1,MYC,MX1,KRAS,JAK1,IKBKB,IFNG,GSK3B,AKT2,AKT1,EIF2S1,EGFR,E2F3,E2F2,E2F1
Salmonella infection                                         |hsa05132     |45         |736       |148       |61686         |25.483530405405407 |5.0381800000000005e-50 |4.2972700000000006e-49|TXN2,CHUK,TAB2,CDC42,TUBB4B,ARPC5,AKT3,CASP3,TNFSF10,TRADD,ACTG1,TRAF6,TNF,TLR2,TCF7,MAP3K7,BCL2,BAK1,RAF1,RAC1,RAB5B,RAB5A,MAP2K1,MAPK9,MAPK1,PIK3CG,PIK3CD,PAK1,NFKB1,MYC,M6PR,RHOA,IL18,IL6,IKBKB,BIRC2,GAPDH,TAB3,FOS,AKT2,AKT1,TCF7L1,ELMO2,MAPK14,IRAK4
HIF-1 signaling pathway                                      |hsa04066     |37         |736       |83        |61686         |37.362198795180724 |8.661479999999999e-49  |7.176649999999999e-48 |CDKN1B,CDKN1A,AKT3,CAMK2D,PIK3R3,VHL,VEGFA,TIMP1,TFRC,STAT3,SLC2A1,RPS6KB1,BCL2,MAP2K1,MAPK1,PIK3R2,PIK3CD,SERPINE1,NFKB1,INSR,IL6R,IL6,IGF1R,IGF1,IFNG,HK2,HIF1A,GAPDH,MTOR,AKT2,AKT1,ERBB2,EIF4EBP1,EIF4E,EGFR,EDN1,CYBB
Alzheimer disease                                            |hsa05010     |46         |736       |170       |61686         |22.678676470588236 |1.8199699999999998e-48 |1.46608e-47           |BACE1,CHUK,FRAT2,ATG14,TUBB4B,AKT3,CASP3,BECN1,IRS2,PIK3R3,FZD4,FZD1,FZD5,WNT7A,WNT1,TNF,ADAM17,RAF1,MAP2K1,MAPK9,MAPK1,PIK3R2,PIK3CD,NRAS,NFKB1,COX2,LRP6,KRAS,ITPR1,IRS1,INSR,APP,IL6,IKBKB,GSK3B,GAPDH,MTOR,AKT2,AKT1,EIF2S1,DVL3,ATG2B,CYBB,WNT4,CSF1,DKK2
Relaxin signaling pathway                                    |hsa04926     |38         |736       |93        |61686         |34.24596774193549  |2.97285e-48            |2.33007e-47           |ADCY6,AKT3,CREB5,PIK3R3,VEGFA,TGFBR2,TGFBR1,TGFB1,SRC,SHC1,RAF1,MAP2K1,MAPK9,MAPK1,PRKACB,PIK3R2,PIK3CD,NRAS,NFKB1,MMP9,MMP2,MMP1,SMAD2,KRAS,GNAI3,GNAI2,FOS,AKT2,AKT1,EGFR,EDN1,MAPK14,CREB1,COL4A2,COL4A1,COL3A1,COL1A2,COL1A1
Measles                                                      |hsa05162     |40         |736       |111       |61686         |30.2027027027027   |4.6528199999999995e-48 |3.5508299999999997e-47|CHUK,TAB2,CDKN1B,CDK6,CDK4,AKT3,CCNE1,CCND3,CCND2,CCNE2,CASP3,TRADD,PIK3R3,TRAF6,TP53,TNFAIP3,TLR2,MAP3K7,STAT5B,STAT5A,STAT3,BCL2,CCND1,BAK1,MAPK9,PIK3R2,PIK3CD,NFKB1,MX1,JAK3,JAK1,IL6,IKBKB,GSK3B,FOS,AKT2,AKT1,EIF2S1,IRAK4,BBC3
