description                                                  |annotation_id|genes_found|input_size|term_genes|genes_universe|relative_enrichment|pval                   |pval_adj               |genes
Cellular senescence                                          |hsa04218     |60         |933       |118       |61686         |33.61818082729304  |9.504219999999997e-77  |2.30477e-75            |SIRT1,CHEK1,CDKN2B,CDKN1A,CDK6,TRAF3IP2,CDK2,CDC25A,AKT3,CCNE1,CCND2,CCNA2,CCNE2,BTRC,CCNA1,PIK3R3,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,CCND1,RHEB,RB1,PTEN,MAP2K3,MAP2K1,MAPK13,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,SERPINE1,ATM,NRAS,NFKB1,NFATC3,MYC,MDM2,SMAD3,SMAD2,KRAS,ITPR1,CXCL8,IL1A,HRAS,HLA-G,GATA4,MTOR,FOXO3,FOXO1,FOXM1,AKT2,AKT1,ETS1,E2F3,E2F2,E2F1,MAPK14
Breast cancer                                                |hsa05224     |58         |933       |106       |61686         |36.17654553176     |8.898549999999998e-77  |2.3540699999999997e-75 |CDKN1A,CDK6,AKT3,PIK3R3,FZD6,FZD4,FZD1,NCOA3,WNT2,WNT1,TP53,BRCA1,SP1,SHC1,RPS6KB1,CCND1,RB1,PTEN,MAP2K1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,NOTCH2,NOTCH1,MYC,LRP6,KRAS,KIT,JUN,IGF1R,IGF1,APC,HRAS,GSK3B,GRB2,MTOR,FOS,FGF7,AKT2,AKT1,ESR2,ESR1,ERBB2,WNT3A,EGFR,JAG1,TCF7L1,E2F3,E2F2,E2F1,DVL3,DLL4,CTNNB1,WNT4,CSNK1A1
Human cytomegalovirus infection                              |hsa05163     |67         |933       |173       |61686         |25.605523855547087 |2.0153299999999998e-75 |4.511249999999999e-74  |CHUK,CDKN1A,CDK6,AKT3,CREB5,ROCK2,CASP8,CASP3,FADD,PIK3R3,CXCR4,VEGFA,TP53,TNF,TAP1,STAT3,SP1,RPS6KB1,CCND1,ROCK1,RHEB,RB1,RAC1,PTGS2,PTGER4,MAP2K1,MAPK13,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PDGFRA,NRAS,NFKB1,NFATC3,MYC,MDM2,RHOA,KRAS,ITPR1,ITGB3,ITGAV,FASLG,IL10RA,CXCL8,IL1B,IKBKB,IFNB1,HRAS,HLA-G,GSK3B,PDIA3,GRB2,MTOR,AKT2,AKT1,EGFR,E2F3,E2F2,E2F1,CTNNB1,MAPK14,CRKL,CREB1,TBK1,CCR1
Signaling pathways regulating pluripotency of stem cells     |hsa04550     |54         |933       |90        |61686         |39.66945337620579  |1.1270899999999998e-74 |2.3427399999999994e-73 |AKT3,ACVR2B,ACVR1B,ACVR1,KLF4,PIK3R3,FZD6,FZD4,FZD1,PCGF2,ZIC3,WNT2,WNT1,STAT3,BMPR2,BMP4,SOX2,BMI1,REST,MAP2K1,MAPK13,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,NEUROG1,MYC,MEIS1,SMAD5,SMAD4,SMAD3,SMAD2,SMAD1,LIF,KRAS,JARID2,JAK2,IGF1R,IGF1,APC,HRAS,HOXA1,GSK3B,GRB2,AKT2,AKT1,WNT3A,DVL3,DLX5,CTNNB1,WNT4,MAPK14
AGE-RAGE signaling pathway in diabetic complications         |hsa04933     |53         |933       |86        |61686         |40.74575637478501  |3.10542e-74            |6.02452e-73            |CDKN1B,CDC42,AKT3,CASP3,PIK3R3,VEGFC,VEGFA,TNF,TGFBR2,TGFBR1,TGFB2,TGFB1,STAT5B,STAT3,STAT1,SELE,BCL2,CCND1,RAC1,MAPK13,PRKCZ,PIK3R2,PIK3R1,PIK3CD,PIM1,PIK3CB,PIK3CA,SERPINE1,NRAS,NOS3,NFKB1,SMAD4,SMAD3,SMAD2,KRAS,JUN,JAK2,CXCL8,IL1B,IL1A,ICAM1,HRAS,FN1,FOXO1,AKT2,AKT1,AGTR1,EGR1,EDN1,CYBB,MAPK14,COL4A1,COL3A1
Human T-cell leukemia virus 1 infection                      |hsa05166     |65         |933       |167       |61686         |25.73367733985405  |2.3022599999999998e-73 |4.1872399999999995e-72 |CHUK,CHEK1,CDKN2B,CDKN1A,CDK2,AKT3,CREB5,CCNE1,CCND2,CCNA2,CCNE2,MAP3K14,CCNA1,KAT2B,PIK3R3,TP53,TNF,TGFBR2,TGFBR1,TGFB2,TGFB1,TERT,STAT5B,SRF,SPI1,SLC2A1,MAP2K4,CCND1,RB1,PTEN,MAP2K1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,ATM,NRAS,NFKB1,NFATC3,MYC,SMAD4,SMAD3,SMAD2,MAD2L1,KRAS,JUN,IL2,IKBKB,XIAP,ICAM1,HRAS,HLA-G,FOS,AKT2,AKT1,ETS1,EGR1,TLN2,E2F3,E2F2,E2F1,ANAPC1,VAC14,CREB1
Kaposi sarcoma-associated herpesvirus infection              |hsa05167     |61         |933       |146       |61686         |27.62370611813417  |3.1647799999999993e-71 |5.417359999999999e-70  |GABARAPL1,CHUK,CDKN1A,CDK6,AKT3,IKBKE,CASP8,CASP3,FADD,BECN1,PIK3R3,VEGFA,TP53,TLR3,SYK,STAT3,STAT1,MAP2K4,CCND1,RB1,RAC1,PTGS2,MAP2K1,MAPK13,PIK3R2,PIK3R1,PIK3CG,PIK3CD,PIK3CB,PIK3CA,NRAS,NFKB1,NFATC3,MYC,KRAS,JUN,JAK2,ITPR1,CXCL8,IKBKB,IFNGR1,IFNB1,ICAM1,HRAS,HLA-G,HIF1A,GSK3B,CXCL2,MTOR,FOS,AKT2,AKT1,TCF7L1,E2F3,E2F2,E2F1,CTNNB1,MAPK14,CREB1,TBK1,CCR1
Shigellosis                                                  |hsa05131     |64         |933       |173       |61686         |24.45900786201513  |1.5713699999999996e-70 |2.5403799999999997e-69 |GABARAPL1,CHUK,TAB2,CBX3,CDC42,SEPTIN7,CD44,ACTR2,ARPC3,AKT3,RBX1,ROCK2,ATG12,BTRC,BCL10,BECN1,PIK3R3,ACTG1,UBE2N,TP53,TNF,TLR4,MAP3K7,RPS6KB1,BCL2,ROCK1,RAC1,MAPK13,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,ATM,NFKB1,MYD88,MDM2,RHOA,JUN,ITPR1,ITGB1,ITGA5,IL18,CXCL8,IL1B,IKBKB,IFNB1,HK2,H3-3A,GSK3B,TAB3,MTOR,FOXO3,FOXO1,AKT2,AKT1,TLN2,EGFR,DOCK1,ELMO2,RPTOR,MAPK14,CRKL,TBK1
FoxO signaling pathway                                       |hsa04068     |54         |933       |105       |61686         |34.00238860817639  |1.5921699999999997e-69 |2.4385399999999997e-68 |GABARAPL1,CHUK,SIRT1,CDKN2B,CDKN1B,CDKN1A,CDK2,BCL2L11,AKT3,CCND2,ATG12,TNFSF10,IRS2,PIK3R3,TGFBR2,TGFBR1,TGFB2,TGFB1,STAT3,SOD2,SKP2,BCL6,CCND1,PTEN,MAP2K1,MAPK13,PRKAB1,PLK1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,ATM,NRAS,MDM2,SMAD4,SMAD3,KRAS,FASLG,IL10,IKBKB,IGF1R,IGF1,HRAS,GRB2,FOXO3,FOXO1,FOXG1,AKT2,AKT1,EGFR,NLK,MAPK14
Prostate cancer                                              |hsa05215     |50         |933       |89        |61686         |37.143682936522275 |3.964719999999999e-67  |5.768669999999999e-66  |CHUK,CDKN1B,CDKN1A,CDK2,AKT3,CREB5,CCNE1,CCNE2,PIK3R3,TP53,ZEB1,BCL2,CCND1,RB1,PTEN,MAP2K1,PLAT,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PDGFRA,NRAS,NKX3-1,NFKB1,MMP9,MDM2,KRAS,IKBKB,IGF1R,IGF1,HSP90AA1,HRAS,GSK3B,GRB2,MTOR,FOXO1,AKT2,AKT1,ETV5,ERG,ERBB2,EGFR,TCF7L1,E2F3,E2F2,E2F1,CTNNB1,CREB1
Fluid shear stress and atherosclerosis                       |hsa05418     |53         |933       |107       |61686         |32.74892568440664  |4.396319999999999e-67  |6.092049999999999e-66  |CHUK,CDH5,AKT3,ACVR2B,KEAP1,ACVR1,CAV1,PIK3R3,VEGFA,ACTG1,TP53,TNF,MAP3K7,BMPR2,BMP4,MAP2K4,SELE,BCL2,RAC1,MAPK13,MAPK7,PRKCZ,PLAT,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NOS3,NFKB1,NFE2L2,MMP9,MAP3K5,MEF2C,MEF2A,RHOA,KDR,JUN,ITGB3,ITGAV,IL1B,IL1A,IKBKB,IFNG,ICAM1,HSP90AA1,FOS,AKT2,AKT1,EDN1,DUSP1,CTNNB1,MAPK14
TNF signaling pathway                                        |hsa04668     |52         |933       |102       |61686         |33.70607149612257  |1.0256499999999999e-66 |1.3566599999999998e-65 |CHUK,TAB2,CEBPB,DNM1L,AKT3,CREB5,SOCS3,MAP3K14,CASP8,CASP3,FADD,PIK3R3,VEGFC,TNFAIP3,TNF,MAP3K7,MAP2K4,SELE,CCL20,PTGS2,MAP2K3,MAP2K1,MAPK13,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NFKB1,MMP14,MMP9,MAP3K5,LIF,JUNB,JUN,CXCL10,IL1B,IKBKB,IFNB1,ICAM1,BIRC2,CXCL2,TAB3,FOS,AKT2,AKT1,JAG1,EDN1,NOD2,CSF1,MAPK14,CREB1
Herpes simplex virus 1 infection                             |hsa05168     |55         |933       |133       |61686         |27.341101951019027 |5.318039999999999e-64  |6.728469999999999e-63  |CHUK,TAB2,AKT3,IKBKE,ZNF254,SOCS3,CASP8,CASP3,FADD,PIK3R3,TP53,TNF,TLR3,TLR2,TAP1,MAP3K7,SYK,STAT1,SRSF1,BCL2,RHEB,NECTIN1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NFKB1,MYD88,JAK2,ITGB3,FASLG,ITGA5,IRAK1,IL12A,IL1B,IKBKB,IFNGR1,IFNG,IFNB1,BIRC2,APAF1,HLA-G,PDIA3,ZNF763,MTOR,AKT2,AKT1,ZNF561,ZNF611,RBAK,ZNF248,DAXX,ZNF83,TBK1
Alzheimer disease                                            |hsa05010     |60         |933       |176       |61686         |22.53946214557147  |1.2315599999999997e-63 |1.4932699999999997e-62 |BACE1,CHUK,ATF6,TUBB4B,TUBB3,PPIF,AKT3,CASP8,CASP3,FADD,BECN1,IRS2,PIK3R3,FZD6,FZD4,FZD1,XBP1,WNT2,WNT1,UQCRFS1,TNF,PTGS2,PSMD9,MAP2K1,ATP5F1B,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,ATP2A2,NRAS,NFKB1,COX2,MAP3K5,LRP6,KRAS,ITPR1,APP,APOE,IL1B,IL1A,IKBKB,APC,HRAS,APAF1,GSK3B,MTOR,AKT2,AKT1,ERN1,WNT3A,DVL3,RTN4,ATG2B,CYBB,CTNNB1,WNT4,CSNK1A1,CSF1
Hepatitis C                                                  |hsa05160     |51         |933       |111       |61686         |30.377509342139568 |2.1673399999999997e-62 |2.5227899999999996e-61 |CHUK,CDKN1A,CDK6,CDK2,NR1H3,AKT3,IKBKE,CLDN1,SOCS3,CASP8,CASP3,FADD,PIK3R3,YWHAZ,TP53,TNF,TLR3,STAT3,STAT1,CCND1,RB1,MAP2K1,PPARA,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,NFKB1,MYC,MX1,LDLR,KRAS,FASLG,CXCL10,IKBKB,IFNG,IFNB1,HRAS,APAF1,GSK3B,GRB2,AKT2,AKT1,EGFR,E2F3,E2F2,E2F1,CTNNB1,TBK1
Measles                                                      |hsa05162     |51         |933       |112       |61686         |30.10628158015618  |3.923499999999999e-62  |4.3912999999999996e-61 |CHUK,TAB2,CDKN1B,CDK6,CDK2,AKT3,IKBKE,CCNE1,CCND2,CCNE2,CASP8,CASP3,FADD,PIK3R3,TP73,TP53,TNFAIP3,TLR4,TLR2,MAP3K7,STAT5B,STAT3,STAT1,BCL2,CCND1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NFKB1,MYD88,MX1,MSN,JUN,FASLG,IRAK1,IL12A,IL2,IL1B,IL1A,IKBKB,IFNB1,HSPA1B,APAF1,GSK3B,FOS,AKT2,AKT1,TLR7,TBK1
Focal adhesion                                               |hsa04510     |55         |933       |142       |61686         |25.60821520764458  |4.5608199999999996e-62 |4.915549999999999e-61  |CDC42,AKT3,ROCK2,CCND2,CAV1,PIK3R3,VEGFC,VEGFA,ACTG1,THBS1,SHC1,BCL2,CCND1,ROCK1,RAP1B,RAC1,PTEN,MAP2K1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PDGFRA,PAK2,MYLK,MET,RHOA,KDR,JUN,ITGB3,ITGB1,ITGAV,ITGA9,ITGA5,ITGA3,IGF1R,IGF1,XIAP,BIRC2,HRAS,HGF,GSK3B,GRB2,FN1,FLT1,AKT2,AKT1,ERBB2,TLN2,EGFR,DOCK1,CTNNB1,CRKL,COL4A1
Salmonella infection                                         |hsa05132     |56         |933       |153       |61686         |24.19923081772902  |1.6452599999999996e-61 |1.7098899999999997e-60 |CHUK,TAB2,WASF3,CDC42,TUBB4B,TUBB3,ACTR2,ARPC3,AKT3,ROCK2,CASP8,CASP3,TNFRSF10B,FADD,TNFSF10,ACTG1,TNF,TLR4,TLR2,MAP3K7,MAP2K4,BCL2,RAC1,RAB5A,MAP2K3,MAP2K1,MAPK13,PIK3CG,PIK3CD,PIK3CB,PIK3CA,NFKB1,MYD88,MYC,M6PR,RHOB,RHOA,JUN,IRAK1,IL18,CXCL8,IL1B,IKBKB,BIRC2,HSP90AA1,HRAS,ANXA2,TAB3,FOS,AKT2,AKT1,TCF7L1,ELMO2,VPS18,CTNNB1,MAPK14
Endocrine resistance                                         |hsa01522     |46         |933       |86        |61686         |35.36424138188888  |1.8582299999999995e-60 |1.8646399999999997e-59 |CDKN1B,CDKN1A,CARM1,AKT3,PIK3R3,NCOA3,TP53,SP1,SHC1,RPS6KB1,BCL2,CCND1,RB1,MAP2K1,MAPK13,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,NOTCH2,NOTCH1,MMP9,MDM2,KRAS,JUN,IGF1R,IGF1,HRAS,GRB2,MTOR,FOS,AKT2,AKT1,ESR2,ESR1,ERBB2,EGFR,JAG1,E2F3,E2F2,E2F1,HBEGF,DLL4,MAPK14
Human immunodeficiency virus 1 infection                     |hsa05170     |55         |933       |152       |61686         |23.92346420714165  |4.2223999999999995e-60 |4.095729999999999e-59  |SAMHD1,CHUK,CHEK1,TAB2,CFL2,AKT3,RBX1,BTRC,AP1S2,CASP8,CASP3,FADD,PIK3R3,CUL5,CXCR4,WEE1,TNF,TLR4,TLR2,TAP1,MAP3K7,RPS6KB1,BCL2,RAC1,MAP2K3,MAP2K1,MAPK13,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PAK2,ATM,NRAS,NFKB1,NFATC3,MYD88,KRAS,JUN,ITPR1,FASLG,IRAK1,IKBKB,IFNB1,HRAS,HLA-G,PDIA3,MTOR,FOS,AKT2,AKT1,MAPK14,CRKL,TBK1
Yersinia infection                                           |hsa05135     |50         |933       |114       |61686         |28.99813843289897  |6.894039999999998e-60  |6.471500000000001e-59  |CHUK,TAB2,CDC42,ACTR2,ARPC3,AKT3,ROCK2,PIK3R3,ACTG1,TNF,TLR4,MAP3K7,MAP2K4,RPS6KA3,ROCK1,RAC1,MAP2K3,MAP2K1,MAPK13,PKN2,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NFKB1,NFATC3,MYD88,RHOA,JUN,ITGB1,ITGA5,IRAK1,IL18,IL10,CXCL8,IL2,IL1B,IKBKB,IFNB1,GSK3B,FOS,FN1,AKT2,AKT1,DOCK1,ELMO2,MAPK14,CRKL,TBK1
Colorectal cancer                                            |hsa05210     |44         |933       |79        |61686         |36.823965159347146 |5.791489999999999e-59  |5.26664e-58            |CDKN1A,BCL2L11,AKT3,CASP3,PIK3R3,TP53,TGFBR2,TGFBR1,TGFB2,TGFB1,RPS6KB1,BCL2,CCND1,RAC1,MAP2K1,PMAIP1,PIK3R2,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,MYC,MSH2,MLH1,SMAD4,SMAD3,SMAD2,RHOA,AREG,KRAS,JUN,APC,HRAS,MSH6,GSK3B,GRB2,MTOR,FOS,AKT2,AKT1,EGFR,TCF7L1,CTNNB1
