description                                                  |annotation_id|genes_found|input_size|term_genes|genes_universe|relative_enrichment|pval                   |pval_adj               |genes
Cellular senescence                                          |hsa04218     |67         |1148      |119       |61686         |30.253286680525868 |1.3177299999999999e-83 |3.7375699999999996e-82 |SIRT1,CHEK1,RRAS2,CDKN2A,CDKN1A,CDK6,CDK4,CDK2,CDC25A,AKT3,CCNE1,CCND3,CCND2,CCNE2,BTRC,VDAC1,TSC1,TP53,TGFBR2,TGFBR1,TGFB2,CCND1,RHEB,RBL2,RBL1,RB1,RAF1,PTEN,MAP2K6,MAP2K3,MAPK13,MAPK1,PPP3CA,PPP1CA,PIK3R1,PIK3CD,PIK3CB,PIK3CA,SERPINE1,ATM,NRAS,NFKB1,NFATC1,MYC,MDM2,SMAD3,SMAD2,KRAS,CXCL8,IL6,IL1A,IGFBP3,HRAS,GATA4,MTOR,FOXO3,FOXO1,AKT2,AKT1,ETS1,EIF4EBP1,E2F5,E2F3,E2F2,E2F1,MAPK14,HIPK2
Epstein-Barr virus infection                                 |hsa05169     |70         |1148      |145       |61686         |25.940285954583683 |6.806429999999999e-81  |1.7696699999999996e-79 |CHUK,TAB2,CDKN1B,CDKN1A,CDK6,CDK4,CDK2,CD44,CD40,BCL2L11,AKT3,IKBKE,NCOR2,CCNE1,CCND3,CCND2,CCNE2,RUNX3,MAP3K14,CASP8,CASP3,FADD,IKBKG,VIM,TP53,TNFAIP3,TNF,TAP1,SYK,STAT3,STAT1,MAP2K4,BCL2,CCND1,BAK1,RB1,RAC1,MAP2K6,MAP2K3,MAPK13,MAPK9,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NFKBIA,NFKB1,MYD88,MYC,MDM2,JUN,JAK1,FAS,IRAK1,IL6,IKBKB,IFNB1,IFNAR1,ICAM1,HES1,APAF1,HDAC2,AKT2,AKT1,E2F3,E2F2,E2F1,SAP30L,MAPK14,TBK1
Hepatocellular carcinoma                                     |hsa05225     |64         |1148      |112       |61686         |30.704828272772524 |1.71874e-80            |4.1249799999999993e-79 |CDKN2A,CDKN1A,CDK6,CDK4,TXNRD2,AKT3,KEAP1,FZD7,FZD6,AXIN2,FZD5,WNT7A,WNT1,TP53,TGFBR2,TGFBR1,TGFB2,TGFA,TERT,BRAF,SMARCA4,SHC1,ACTB,RPS6KB1,CCND1,BAK1,RB1,RAF1,PTEN,MAPK1,PRKCA,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,MYC,MET,SMAD4,SMAD3,SMAD2,LRP5,LRP6,KRAS,IGF2,IGF1R,APC,HRAS,HMOX1,GSK3B,MTOR,ARID2,AKT2,AKT1,EGFR,TCF7L1,E2F3,E2F2,E2F1,PBRM1,CTNNB1,CSNK1A1,LEF1,BRD7
Signaling pathways regulating pluripotency of stem cells     |hsa04550     |58         |1148      |91        |61686         |34.247693073477045 |3.9003e-77             |8.692089999999997e-76  |AKT3,ACVR2B,SETDB1,KLF4,FZD7,FZD6,AXIN2,FZD5,PCGF2,ZIC3,WNT7A,WNT1,TCF3,STAT3,BMPR2,BMPR1B,SOX2,BMI1,REST,RAF1,MAPK13,MAPK1,POU5F1,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PAX6,NRAS,NODAL,MYC,MEIS1,SMAD5,SMAD4,SMAD3,SMAD2,SMAD1,LIFR,KRAS,JARID2,JAK2,JAK1,IGF1R,IGF1,ID4,APC,HRAS,HOXA1,GSK3B,FGFR2,FGFR3,FGF2,AKT2,AKT1,NANOG,DLX5,CTNNB1,MAPK14
Human T-cell leukemia virus 1 infection                      |hsa05166     |70         |1148      |166       |61686         |22.658683514545988 |1.3214199999999997e-75 |2.7485499999999997e-74 |CHUK,CHEK1,CDKN2A,CDKN1A,CDK4,CDK2,CD40,AKT3,CCNE1,CCND3,CCND2,CCNE2,MAP3K14,KAT2B,IKBKG,ZFP36,VDAC1,TP53,TNF,TGFBR2,TGFBR1,TGFB2,TERT,TCF3,STAT5B,STAT5A,SPI1,MAP2K4,CCND1,RB1,RAN,PTEN,MAPK9,MAPK1,PRKACB,PPP3CA,PIK3R1,PIK3CD,PIK3CB,PIK3CA,ATM,NRAS,NFKBIA,NFKB1,NFATC1,MYC,MAP3K1,SMAD4,SMAD3,SMAD2,MAD2L1,KRAS,JUN,JAK1,IL6,IKBKB,XIAP,ICAM1,HRAS,FOS,AKT2,AKT1,ETS1,EGR2,EGR1,E2F3,E2F2,E2F1,VAC14,CREB1
Gastric cancer                                               |hsa05226     |60         |1148      |107       |61686         |30.130906248982384 |8.21238e-75            |1.6014099999999996e-73 |CDKN1B,CDKN1A,CDK2,CDH1,AKT3,CCNE1,CCNE2,FZD7,FZD6,AXIN2,FZD5,WNT7A,WNT1,TP53,TGFBR2,TGFBR1,TGFB2,TERT,BRAF,SHC1,RPS6KB1,BCL2,CCND1,BAK1,RB1,RAF1,MAPK1,PIK3R1,PIK3CD,PIK3CB,PIK3CA,ABCB1,NRAS,MYC,MLH1,MET,SMAD4,SMAD3,SMAD2,LRP5,LRP6,KRAS,APC,HRAS,GSK3B,MTOR,FGFR2,FGF7,FGF2,AKT2,AKT1,ERBB2,EGFR,TCF7L1,E2F3,E2F2,E2F1,CTNNB1,CSNK1A1,LEF1
Shigellosis                                                  |hsa05131     |70         |1148      |171       |61686         |21.996148908857506 |1.7563599999999996e-74 |3.22344e-73            |GABARAPL1,CHUK,TAB2,ATG14,CDC42,SEPTIN7,CD44,ACTR2,ARPC3,AKT3,ROCK2,ATG12,BTRC,BCL10,CAPNS1,IKBKG,VDAC1,UBE2N,TP53,TNF,BNIP3,SRC,CCL5,ACTB,RPS6KB1,BCL2,ROCK1,RAC1,PXN,MAPK13,MAPK9,MAPK1,PRKCE,PIK3R1,PIK3CD,PIK3CB,PIK3CA,ATM,NFKBIA,NFKB1,NAIP,MYD88,MDM2,RHOA,ARF6,JUN,ITGB1,ITGA5,ILK,CXCL8,IL1B,IKBKB,IFNB1,HK2,GSK3B,TAB3,MTOR,FOXO3,FOXO1,AKT2,AKT1,EGFR,DOCK1,ELMO2,RPTOR,ATG16L1,MAPK14,PLCE1,CRKL,TBK1
Breast cancer                                                |hsa05224     |59         |1148      |104       |61686         |30.48339922272849  |5.2402199999999985e-74 |9.083039999999999e-73  |CDKN1A,CDK6,CDK4,AKT3,TNFSF11,FZD7,FZD6,AXIN2,NCOA3,FZD5,WNT7A,WNT1,TP53,BRCA2,BRAF,SP1,SHC1,RPS6KB1,CCND1,BAK1,RB1,RAF1,PTEN,MAPK1,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,NOTCH2,NOTCH1,MYC,LRP5,LRP6,KRAS,JUN,IGF1R,IGF1,APC,HES1,HRAS,GSK3B,MTOR,FOS,FGF7,FGF2,AKT2,AKT1,ESR1,ERBB2,EGFR,JAG1,TCF7L1,E2F3,E2F2,E2F1,CTNNB1,CSNK1A1,LEF1
Prostate cancer                                              |hsa05215     |55         |1148      |89        |61686         |33.2060642837568   |4.57565e-72            |7.51369e-71            |CHUK,CDKN1B,CDKN1A,CDK2,AKT3,CCNE1,CCNE2,IKBKG,TP53,TGFA,ZEB1,BRAF,BCL2,CCND1,RB1,RAF1,PTEN,MAPK1,PLAU,PLAT,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PDGFRB,NRAS,NKX3-1,NFKBIA,NFKB1,MMP9,MMP3,MDM2,KRAS,IKBKB,IGF1R,IGF1,HSP90AA1,HRAS,GSK3B,MTOR,FOXO1,FGFR2,AKT2,AKT1,ETV5,ERG,ERBB2,EGFR,TCF7L1,E2F3,E2F2,E2F1,CTNNB1,LEF1,CREB1
Alzheimer disease                                            |hsa05010     |69         |1148      |179       |61686         |20.712893932610513 |3.199139999999999e-71  |4.990659999999999e-70  |BACE1,CHUK,CHRM1,DKK1,ATG14,ADAM10,TUBB3,PPIF,AKT3,CASP8,CASP7,CASP3,FADD,IRS2,FZD7,FZD6,AXIN2,CACNA1C,FZD5,WNT7A,WNT1,VDAC1,UQCRFS1,TNF,BRAF,ADAM17,RAF1,PSMD9,MAPK9,MAPK1,PPP3CA,PIK3R1,PIK3CD,PIK3CB,PIK3CA,ATP2A2,NRAS,NFKB1,NDUFA4,CYTB,COX2,LRP5,LRP6,LPL,KRAS,FAS,IRS1,INSR,APP,IL6,IL1B,IL1A,IKBKB,APC,HRAS,APAF1,GSK3B,GRIN2A,MTOR,AKT2,AKT1,KLC2,RTN4,CYBB,CTNNB1,CSNK2A1,CSNK1A1,APH1A,NOX4
FoxO signaling pathway                                       |hsa04068     |57         |1148      |106       |61686         |28.894402077443957 |1.1674e-69             |1.7344299999999996e-68 |GABARAPL1,CHUK,SIRT1,CDKN2D,CDKN1B,CDKN1A,CDK2,BCL2L11,AKT3,CCNG2,CCND2,ATG12,TNFSF10,IRS2,TGFBR2,TGFBR1,TGFB2,BRAF,BNIP3,STAT3,SOD2,SLC2A4,BCL6,CCND1,RBL2,RAF1,PTEN,MAPK13,MAPK9,MAPK1,PLK1,PIK3R1,PIK3CD,PIK3CB,PIK3CA,ATM,NRAS,MDM2,SMAD4,SMAD3,KRAS,FASLG,IRS1,INSR,IL6,IKBKB,IGF1R,IGF1,HRAS,G6PC1,FOXO3,FOXO1,FOXG1,AKT2,AKT1,EGFR,MAPK14
Measles                                                      |hsa05162     |58         |1148      |112       |61686         |27.8262506222001   |1.4821899999999998e-69 |2.1020199999999997e-68 |CHUK,TAB2,CDKN1B,ADAR,CDK6,CDK4,CDK2,AKT3,CD28,IKBKE,CCNE1,CCND3,CCND2,CCNE2,CASP8,CASP3,FADD,IKBKG,TP53,TNFAIP3,STAT5B,STAT5A,STAT3,STAT1,BCL2,CCND1,BAK1,MAPK9,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NFKBIA,NFKB1,MYD88,MSN,JUN,JAK1,FASLG,FAS,IRAK1,IL12A,IL6,IL1B,IL1A,IKBKB,IFNB1,IFNAR1,HSPA1B,APAF1,GSK3B,FOS,AKT2,AKT1,CSNK2A1,TLR7,TBK1,BBC3
Hepatitis C                                                  |hsa05160     |58         |1148      |114       |61686         |27.338070786722906 |5.985399999999999e-69  |8.119319999999999e-68  |CHUK,CDKN1A,CDK6,CDK4,CDK2,NR1H3,AKT3,IKBKE,CLDN1,CLDN10,CASP8,CASP3,FADD,IKBKG,YWHAZ,YWHAG,TP53,TNF,TLR3,BRAF,STAT3,STAT1,CCND1,RNASEL,BAK1,RB1,RAF1,MAPK1,PPP2R2A,PPP2CB,PPARA,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,NFKBIA,NFKB1,MYC,LDLR,KRAS,JAK1,FASLG,FAS,IKBKB,IFNB1,IFNAR1,HRAS,APAF1,GSK3B,AKT2,AKT1,EGFR,E2F3,E2F2,E2F1,CTNNB1,TBK1
Focal adhesion                                               |hsa04510     |63         |1148      |146       |61686         |23.18635148680254  |6.33697e-69            |8.238059999999999e-68  |ITGA11,CDC42,PAK4,AKT3,ROCK2,CCND3,CCND2,CAV1,VEGFA,THBS4,BRAF,SRC,SHC1,ACTB,BCL2,CCND1,ROCK1,RAP1B,RAF1,RAC1,PXN,PTEN,MAPK9,MAPK1,PRKCA,PPP1CA,PIK3R1,PIK3CD,PIK3CB,PIK3CA,PDGFRB,PAK2,MYLK,MET,ARHGAP5,RHOA,LAMC2,KDR,JUN,ITGB8,ITGB3,ITGB1,ITGA5,ITGA6,ILK,IGF1R,IGF1,XIAP,HRAS,GSK3B,FYN,FN1,FLT1,AKT2,AKT1,ERBB2,EGFR,DOCK1,CTNNB1,CRKL,COL4A2,COL4A1,COL1A2
Salmonella infection                                         |hsa05132     |64         |1148      |156       |61686         |22.04449209327258  |3.0069599999999992e-68 |3.7526899999999995e-67 |CHUK,TAB2,WASF3,CDC42,TUBB3,ACTR2,ARPC3,AKT3,ROCK2,CASP8,CASP7,CASP3,TNFRSF10A,TNFRSF10B,FADD,TNFSF10,IKBKG,TNF,MAP2K4,ACTB,BCL2,BAK1,RAF1,RAC1,RAB5A,MAP2K6,MAP2K3,MAPK13,MAPK9,MAPK1,PODXL,PIK3CD,PIK3CB,PIK3CA,NFKBIA,NFKB1,NAIP,MYO6,MYD88,MYC,RHOB,RHOA,ARF6,JUN,IRAK1,CXCL8,IL6,IL1B,IKBKB,HSP90AA1,HRAS,ANXA2,TAB3,FOS,AKT2,AKT1,TIRAP,TCF7L1,KLC2,ELMO2,VPS18,CTNNB1,MAPK14,LEF1
Herpes simplex virus 1 infection                             |hsa05168     |59         |1148      |129       |61686         |24.575763714447774 |1.63031e-66            |1.9563699999999993e-65 |CHUK,TAB2,AKT3,IKBKE,ZNF254,CASP8,CASP3,FADD,IKBKG,TSC1,TP53,TNF,TLR3,TAP1,SYK,STAT1,SRC,SRSF1,CCL5,CCL2,BCL2,RNASEL,RHEB,BAK1,PTPN11,PPP1CA,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NFKBIA,NFKB1,MYD88,JAK2,JAK1,ITGB3,FASLG,ITGA5,FAS,IRAK1,IL12A,IL6,IL1B,IKBKB,IFNGR1,IFNB1,IFNAR1,APAF1,MTOR,AKT2,AKT1,ZNF561,EIF4EBP1,ZNF611,RBAK,ZNF248,DAXX,ZNF83,TBK1
Pathogenic Escherichia coli infection                        |hsa05130     |56         |1148      |120       |61686         |25.07560975609756  |8.068029999999999e-64  |9.323059999999998e-63  |CHUK,TAB2,WASF3,CDC42,TUBB3,ACTR2,ARPC3,ROCK2,CLDN1,CLDN10,CASP8,CASP7,CASP3,TNFRSF10A,TNFRSF10B,FADD,TNFSF10,IKBKG,EZR,TNF,SRC,ACTB,ROCK1,BAK1,RAC1,PTPN11,MAPK13,MAPK9,MAPK1,PAK2,NFKBIA,NFKB1,NAIP,MYO10,MYO6,MYO5A,MYO1D,MYD88,RHOA,ARF6,JUN,ITGB1,FASLG,FAS,IRAK1,CXCL8,IL6,IL1B,IKBKB,FYN,TAB3,ABL1,FOS,TIRAP,LPAR1,MAPK14
Colorectal cancer                                            |hsa05210     |49         |1148      |81        |61686         |32.50542005420055  |1.2272099999999998e-63 |1.36747e-62            |CDKN1A,BCL2L11,AKT3,CASP3,AXIN2,TP53,TGFBR2,TGFBR1,TGFB2,TGFA,BRAF,RPS6KB1,BCL2,CCND1,BAK1,RAF1,RAC1,MAPK9,MAPK1,PMAIP1,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,MYC,MSH3,MSH2,MLH1,SMAD4,SMAD3,SMAD2,RHOA,KRAS,JUN,BIRC5,APC,HRAS,MSH6,GSK3B,MTOR,FOS,AKT2,AKT1,EGFR,TCF7L1,CTNNB1,LEF1,BBC3
Chronic myeloid leukemia                                     |hsa05220     |47         |1148      |72        |61686         |35.07600174216028  |1.8349099999999996e-63 |1.9741099999999994e-62 |CHUK,CDKN2A,CDKN1B,CDKN1A,CDK6,CDK4,AKT3,GAB2,RUNX1,IKBKG,TP53,TGFBR2,TGFBR1,TGFB2,BRAF,STAT5B,STAT5A,SHC1,CCND1,BAK1,RB1,RAF1,PTPN11,MAPK1,PIK3R1,PIK3CD,PIK3CB,PIK3CA,NRAS,NFKBIA,NFKB1,MYC,MDM2,SMAD4,SMAD3,KRAS,IKBKB,HRAS,HDAC2,ABL1,AKT2,AKT1,E2F3,E2F2,E2F1,CTBP2,CRKL
